ELECTION	ELECTION	ELECTION	OFFICE TYPE	OFFICE	US CONGRESS	STATE SENATE	STATE ASSEMBLY	COURT OF APPEALS	COUNTY	COUNTY	MUNICIPALITY	MUNICIPALITY	MUNICIPALITY	HINDI	ORDER	REPORTING UNIT	Robert L. Cowles	Scattering 	
DATE	TYPE	SUBTYPE	KEYWORD	NAME	DISTRICT	DISTRICT	DISTRICT	DISTRICT	NUMBER	NAME	TYPE	NUMBER	NAME	NUMBER	NUMBER	NAME	Republican		
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	10	1	41	Milwaukee	City	251	Milwaukee	41251	99	Ward 99	897	5	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	10	1	41	Milwaukee	City	251	Milwaukee	41251	100	Ward 100	775	5	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	10	1	41	Milwaukee	City	251	Milwaukee	41251	101	Ward 101	909	5	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	10	1	41	Milwaukee	City	251	Milwaukee	41251	102	Ward 102	550	10	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	10	1	41	Milwaukee	City	251	Milwaukee	41251	103	Ward 103	1118	23	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	10	1	41	Milwaukee	City	251	Milwaukee	41251	104	Ward 104	481	5	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	11	1	41	Milwaukee	City	251	Milwaukee	41251	115	Ward 115	1089	7	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	12	1	41	Milwaukee	City	251	Milwaukee	41251	148	Ward 148	678	18	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	12	1	41	Milwaukee	City	251	Milwaukee	41251	149	Ward 149	1210	11	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	12	1	41	Milwaukee	City	251	Milwaukee	41251	151	Ward 151	547	12	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	12	1	41	Milwaukee	City	251	Milwaukee	41251	152	Ward 152	1379	20	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	12	1	41	Milwaukee	City	251	Milwaukee	41251	153	Ward 153	360	8	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	12	1	41	Milwaukee	City	251	Milwaukee	41251	154	Ward 154	821	5	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	12	1	41	Milwaukee	City	251	Milwaukee	41251	155	Ward 155	873	10	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	11	1	41	Milwaukee	City	251	Milwaukee	41251	156	Ward 156	921	8	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	10	1	41	Milwaukee	City	251	Milwaukee	41251	157	Ward 157	974	21	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	11	1	41	Milwaukee	City	251	Milwaukee	41251	158	Ward 158	821	12	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	11	1	41	Milwaukee	City	251	Milwaukee	41251	159	Ward 159	1093	6	
